Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?,Highest Injury Severity
In-Vehicle (Commercial / Test),15:11,Daylight,Highway / Freeway,65.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,62.0,Heavy Truck, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Peterbilt,2022.0,58117.0,No,Yes,Moderate
In-Vehicle (Commercial / Test),12:57,Daylight,Intersection,5.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Making Left Turn,0.0,Pickup Truck, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,21860.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:11,Daylight,Street,25.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Stopped,11.0,Pickup Truck, , , ,Y, , , , ,Yes,No,No,ADS,Yes,Lexus,2020.0,19835.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),11:39,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,8379.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:08,Daylight,Intersection,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,34.0,Passenger Car, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,22991.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),2:20,Dark - Lighted,Intersection,25.0,CA , , , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,11661.0,Unknown,Yes,No Injuries Reported
Remote (Commercial / Test),0:39,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,7.0,Van, , ,Y, ,Y, , , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2023.0,2126.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),2:11,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Left Turn,2.0,Motorcycle, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,25141.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),9:34,Daylight,Intersection,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Stopped,Crossing into Opposing Lane,0.0,Passenger Car, , , , , , ,Y, ,Yes,Unknown,No,ADS,Yes,Jaguar,2021.0,35308.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),19:45,Dark - Lighted,Intersection,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,16818.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),13:14,Daylight,Street,30.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Parked,11.0,Passenger Car, , , ,Y, , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,1912.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),3:09,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,1.0,SUV, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,33977.0,Unknown,Yes,No Injuries Reported
Consumer,22:25,Dark - Unknown Lighting,Highway / Freeway,75.0,TX ,Y, , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,82.0,Pole / Tree,Y, , , , ,Y, , ,Yes,Unknown,Yes,ADAS,No,BMW,2020.0,27161.0,Unknown,Yes,Serious
In-Vehicle (Commercial / Test),15:15,Daylight,Street,9.0,CO ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,7.0,Non-Motorist: Cyclist, , , , , , , , ,No Passengers in Vehicle,Unknown,No,ADS,Yes,EZ10,2018.0,1894.0,Unknown,No,No Injuries Reported
Consumer,20:00,Dark - Lighted,Highway / Freeway,65.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,66.0,Other Fixed Object, , ,Y, ,Y, , , ,Yes,Unknown,Yes,ADAS,No,Kia,2022.0,10193.0,Unknown,Yes,Minor
Consumer,Unknown,Unknown,Intersection,25.0,NC , , , , , , ,Unknown,Unknown,Proceeding Straight,Proceeding Straight,3.5,Unknown,Y, , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2017.0,18698.0,Unknown,Yes,Moderate
Consumer,Unknown,Unknown,Intersection,25.0,UNK, , , , , , ,Unknown,Unknown,Proceeding Straight,"Other, see Narrative",3.5,Unknown, , , , , , , , ,Unknown,Yes,Yes,"Unknown, see Narrative",No,Honda,2021.0,1000.0,Unknown,Unknown,No Injuries Reported
In-Vehicle (Commercial / Test),17:00,Daylight,Parking Lot,15.0,WY ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Backing,7.0,Passenger Car, , , , , ,Y, , ,No Passengers in Vehicle,No,No,ADS,Yes,Local Motors,2019.0,0.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Parking Lot,25.0,NY , , , , , , ,Unknown,Unknown,Unknown,Backing,3.5,Unknown, , , ,Y, , , ,Y,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Acura,2021.0,18698.0,Unknown,No,No Injuries Reported
Consumer,11:01,Daylight,Street,30.0,GA , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,9.0,Other Fixed Object, , , , , ,Y, , ,Yes,Unknown,No,ADS,Yes,Local Motors,2018.0,280.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),10:08,Daylight,Parking Lot,15.0,CA , , , , , , ,Dry,No Unusual Conditions,Stopped,Making Left Turn,0.0,Van, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,21943.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),10:45,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Parking Maneuver,Passing,6.0,SUV, , , , ,Y, , , ,Yes,Unknown,No,ADS,Yes,Toyota,2016.0,91466.0,Unknown,No,No Injuries Reported
Consumer,05:38,Dark - Lighted,Street,30.0,GA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,28.0,Pole / Tree,Y, , , , , , , ,Unknown,Unknown,No,ADAS,No,Tesla,2020.0,55672.0,Unknown,Yes,Moderate
In-Vehicle (Commercial / Test),20:00,Daylight,Parking Lot,15.0,WY ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Backing,8.0,Passenger Car, , , , , ,Y, , ,No Passengers in Vehicle,No,No,ADS,Yes,Local Motors,2019.0,1821.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:55,Daylight,Street,30.0,FL ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Pickup Truck, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,1857.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),Unknown,Daylight,Parking Lot,25.0,WY ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Backing,6.0,Passenger Car, , , , , ,Y, , ,No Passengers in Vehicle,No,No,ADS,Yes,OLLI,2019.0,18698.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),6:37,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Entering Traffic,17.0,Pickup Truck, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,27380.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),21:10,Dark - Unknown Lighting,Unknown,25.0,MI , , , , , , ,Dry,Unknown,Proceeding Straight,NM Crossing Roadway,3.5,Animal, , , ,Y, ,Y, ,Y,Yes,Unknown,Unknown,ADAS,No,Jeep,2022.0,18698.0,Unknown,Yes,Minor
Consumer,Unknown,Unknown,Highway / Freeway,25.0,TX , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,First Responder Vehicle, , , , , , , , ,Unknown,Unknown,Unknown,"Unknown, see Narrative",No,Tesla,2020.0,18698.0,Unknown,Unknown,Serious
In-Vehicle (Commercial / Test),21:28,Dark - Lighted,Intersection,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,48335.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:08,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,13034.0,No,Yes,No Injuries Reported
Consumer,13:00,Daylight,Intersection,25.0,GA , , , , , , ,Unknown,Traffic Incident,Proceeding Straight,Making U-Turn,3.5,SUV,Y, , , , , , , ,Unknown,Yes,Yes,ADAS,No,Porsche,2022.0,100.0,Yes,Yes,Minor
Consumer,20:30,Daylight,Highway / Freeway,25.0,VA , , , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,3.5,Other Fixed Object, , , , , , , , ,Unknown,Unknown,Yes,ADAS,No,Tesla,2018.0,47710.0,Unknown,Unknown,Serious
In-Vehicle (Commercial / Test),12:39,Daylight,Traffic Circle,30.0,FL ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Ford,2020.0,2562.0,No,No,Moderate
In-Vehicle (Commercial / Test),5:55,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,8.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,Unknown,No,ADS,Yes,Toyota,2016.0,80506.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),13:10,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Lane / Road Departure,7.0,Non-Motorist: Cyclist, , , , , , , ,Y,Yes,Unknown,No,ADS,Yes,Cruise,2020.0,39252.0,Unknown,No,Minor
Remote (Commercial / Test),1:39,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Passing,12.0,Passenger Car, , ,Y, , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,46105.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,CA , , , , , , ,Unknown,Unknown,Proceeding Straight,Unknown,3.5,Unknown, , , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2021.0,18698.0,Yes,Yes,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),9:02,Daylight,Parking Lot,25.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Backing,Backing,0.0,Passenger Car,Y, , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Toyota,2021.0,700.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:28,Daylight,Intersection,25.0,CA , , , ,Y, , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,10606.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),3:15,Dark - Lighted,Intersection,30.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,34517.0,No,No,No Injuries Reported
Remote (Commercial / Test),20:13,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , , ,Y, , , ,No Passengers in Vehicle,Unknown,No,ADS,Yes,Cruise,2023.0,2293.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),19:55,Dawn / Dusk,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, ,Y, , , , ,Y,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,18215.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),3:52,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Crossing into Opposing Lane,2.0,SUV, , ,Y, , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,10537.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,65.0,LA , , , , , , ,Unknown,Unknown,Proceeding Straight,Proceeding Straight,3.5,Pickup Truck,Y, , , , , , , ,Unknown,Unknown,Yes,"Unknown, see Narrative",No,Honda,2019.0,18698.0,Unknown,Yes,Moderate
Consumer,04:02,Dark - Not Lighted,Highway / Freeway,65.0,GA , ,Y, , , , ,Wet,"Other, see Narrative",Proceeding Straight,Unknown,21.0,Other Fixed Object,Y, , ,Y, ,Y, ,Y,Unknown,Unknown,No,ADAS,No,Tesla,2019.0,66000.0,Unknown,Yes,Minor
Consumer,Unknown,Unknown,Parking Lot,25.0,CA , , , , , , ,Unknown,Unknown,Parking Maneuver,Unknown,3.5,Pole / Tree, , , , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2019.0,18698.0,Unknown,Yes,Minor
Remote (Commercial / Test),23:51,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Passing,6.0,Passenger Car, , ,Y, ,Y, , , ,No Passengers in Vehicle,Unknown,No,ADS,Yes,Cruise,2023.0,820.0,No,No,No Injuries Reported
Remote (Commercial / Test),23:59,Dark - Lighted,Street,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Proceeding Straight,Changing Lanes,19.0,Passenger Car, , , ,Y, ,Y, , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2022.0,3128.0,No,No,No Injuries Reported
Remote (Commercial / Test),23:23,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, , ,Y, ,Y, , , ,No Passengers in Vehicle,Unknown,No,ADS,Yes,Cruise,2023.0,1239.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),1:43,Dark - Lighted,Parking Lot,25.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Making Left Turn,"Other, see Narrative",9.0,"Other, see Narrative", , , , , , , , ,Yes,Not Applicable,No,ADS,Yes,Jaguar,2021.0,30050.0,Not Applicable,Yes,No Injuries Reported
Consumer,16:18,Daylight,Highway / Freeway,70.0,IA ,Y, , , , , ,Dry,"Other, see Narrative",Proceeding Straight,Unknown,80.0,Other Fixed Object, , ,Y, ,Y, ,Y, ,Yes,Unknown,No,ADAS,No,Subaru,2021.0,882.0,Unknown,Yes,No Injuries Reported
Remote (Commercial / Test),4:45,Dark - Lighted,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,3.0,Passenger Car, , ,Y, , , , , ,No Passengers in Vehicle,No,Yes,ADS,Yes,Cruise,2023.0,5603.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),10:07,Daylight,Street,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car,Y, , , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,24352.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),21:38,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Passenger Car, , , , , , ,Y, ,Yes,Unknown,No,ADS,Yes,Chevrolet,2020.0,29293.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),20:22,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,5.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Toyota,2016.0,101494.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:27,Daylight,Street,45.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,40.0,SUV, , , , , , ,Y, ,Yes,No,No,ADS,Yes,Jaguar,2021.0,50282.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),11:35,Daylight,Street,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Passing,3.0,SUV, ,Y, , , , , ,Y,Yes,No,No,ADS,Yes,Lincoln,2017.0,13679.0,No,No,No Injuries Reported
Consumer,11:57,Daylight,Highway / Freeway,65.0,SC ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Proceeding Straight,68.0,Heavy Truck,Y, , , ,Y, , , ,Unknown,Unknown,Not Applicable,ADAS,No,FREIGHTLINER,2022.0,18698.0,Unknown,Unknown,No Injuries Reported
In-Vehicle (Commercial / Test),13:35,Daylight,Intersection,35.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Making Right Turn,Making Right Turn,2.0,Passenger Car, ,Y, , , , , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,61708.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:36,Daylight,Street,30.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,11655.0,No,Yes,No Injuries Reported
Consumer,02:45,Unknown,Highway / Freeway,55.0,CT , , , ,Y, , ,Dry,Unknown,Proceeding Straight,Unknown,65.0,SUV,Y, , , ,Y,Y, , ,Yes,Unknown,Yes,"Unknown, see Narrative",No,KIA,2022.0,27000.0,Yes,Yes,Minor
In-Vehicle (Commercial / Test),18:00,Daylight,Highway / Freeway,55.0,AZ ,Y, , , , , ,Dry,Traffic Incident,"Other, see Narrative",Unknown,7.0,Passenger Car, ,Y, , ,Y, ,Y, ,Yes,Unknown,No,"Unknown, see Narrative",No,Audi,2023.0,28915.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),23:23,Dark - Lighted,Street,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Making Right Turn,9.0,Passenger Car, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Jaguar,2021.0,34308.0,No,No,No Injuries Reported
Remote (Commercial / Test),2:07,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Pickup Truck,Y, , , , , , , ,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2020.0,39342.0,No,Yes,No Injuries Reported
Consumer,08:11,Dark - Lighted,Highway / Freeway,70.0,KY ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Unknown,70.0,Animal,Y, , , ,Y,Y, , ,Yes,Unknown,Yes,ADAS,No,Subaru,2020.0,25739.0,Unknown,Yes,No Injuries Reported
Remote (Commercial / Test),2:57,Dark - Lighted,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Backing,0.0,Passenger Car, , , ,Y, , , ,Y,No Passengers in Vehicle,No,No,ADS,Yes,Cruise,2022.0,2043.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),17:41,Daylight,Street,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Backing,Parked,2.0,Passenger Car, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,8500.0,No,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),13:35,Daylight,Highway / Freeway,65.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",59.0,Passenger Car, , , ,Y, , , ,Y,Yes,Yes,No,ADS,Yes,Peterbilt,2022.0,151927.0,Unknown,Yes,No Injuries Reported
Unknown,13:38,Daylight,Intersection,35.0,AZ ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",8.0,Motorcycle, , , , , ,Y, , ,Yes,Not Applicable,No,ADS,Yes,Jaguar,2021.0,29338.0,Unknown,No,No Injuries Reported
Remote (Commercial / Test),3:20,Dark - Lighted,Street,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",12.0,"Other, see Narrative", , , , , ,Y, , ,No Passengers in Vehicle,Not Applicable,No,ADS,Yes,Cruise,2023.0,1200.0,Not Applicable,No,No Injuries Reported
In-Vehicle and Remote (Commercial / Test),7:35,Daylight,Intersection,25.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Parked,3.0,SUV, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,11506.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,70.0,MI , , , , , , ,Unknown,No Unusual Conditions,Proceeding Straight,Unknown,3.5,Other Fixed Object, , , , , ,Y, , ,Yes,Unknown,No,ADAS,No,Ford,2021.0,6493.0,Unknown,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),15:00,Daylight,Street,30.0,NV ,Y, , , , , ,Dry,No Unusual Conditions,Proceeding Straight,Changing Lanes,24.0,Passenger Car, , , ,Y, , , , ,Yes,No,No,ADS,Yes,Toyota,2016.0,112547.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:33,Daylight,Highway / Freeway,65.0,NM , , , ,Y, , ,Dry,No Unusual Conditions,Proceeding Straight,"Other, see Narrative",58.0,"Other, see Narrative", , , ,Y, , , , ,Yes,Not Applicable,No,ADS,Yes,FREIGHTLINER,2021.0,52858.0,Not Applicable,Yes,No Injuries Reported
In-Vehicle (Commercial / Test),13:26,Daylight,Intersection,35.0,CA ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Pickup Truck, , , , , , , ,Y,Yes,No,No,ADS,Yes,Jaguar,2021.0,16393.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:41,Dark - Lighted,Street,25.0,CA , ,Y, , , , ,Wet,No Unusual Conditions,Proceeding Straight,Entering Traffic,3.0,Passenger Car, , , , ,Y, , , ,Yes,No,No,ADS,Yes,Cruise,2020.0,31843.0,No,No,No Injuries Reported
In-Vehicle (Commercial / Test),16:35,Daylight,Street,30.0,TX ,Y, , , , , ,Dry,No Unusual Conditions,Stopped,Proceeding Straight,0.0,Non-Motorist: Cyclist, , , , , , ,Y, ,Yes,Unknown,No,ADS,Yes,Ford,2020.0,1635.0,Unknown,No,No Injuries Reported
In-Vehicle (Commercial / Test),18:38,Dark - Lighted,Street,0.0,MI ,Y, , , , , ,Dry,Traffic Incident,Stopped,Proceeding Straight,0.0,SUV, ,Y, , , , ,Y, ,Yes,No,No,ADS,Yes,Lexus,2020.0,24692.0,No,No,No Injuries Reported
Consumer,Unknown,Unknown,Highway / Freeway,25.0,IL , , , , , , ,Unknown,Unknown,Unknown,Unknown,3.5,Pickup Truck, ,Y, , , , , , ,Unknown,Unknown,No,"Unknown, see Narrative",No,Honda,2020.0,18698.0,Unknown,Yes,No Injuries Reported
