column_pair,correlation_score
SV Contact Area - Front_Incident Time (24:00),0.6706763739978754
SV Contact Area - Front_Driver / Operator Type,0.7157418139669661
SV Contact Area - Front_Weather - Severe Wind,0.8783420264657587
SV Contact Area - Front_Roadway Type,0.7946416497633536
SV Contact Area - Front_Weather - Rain,0.8772614218101034
SV Contact Area - Front_SV Contact Area - Front Right,0.8762049647445185
SV Contact Area - Front_SV Contact Area - Rear Left,0.8783420264657587
SV Contact Area - Front_SV Pre-Crash Movement,0.8311298657393993
SV Contact Area - Front_SV Contact Area - Rear,0.8783420264657588
SV Contact Area - Front_Weather - Fog/Smoke,0.8783420264657587
SV Contact Area - Front_Crash With,0.7706896551724138
SV Contact Area - Front_ADS Equipped?,0.7156440162271805
SV Contact Area - Front_SV Was Vehicle Towed?,0.7807857625808945
SV Contact Area - Front_SV Contact Area - Rear Right,0.8783420264657588
SV Contact Area - Front_SV Contact Area - Front Left,0.8599186226214623
SV Contact Area - Front_Weather - Cloudy,0.8783420264657588
SV Contact Area - Front_SV Were All Passengers Belted?,0.7727071863228051
SV Contact Area - Front_SV Contact Area - Left,0.8783420264657588
SV Contact Area - Front_SV Precrash Speed (MPH),0.4857142857142863
SV Contact Area - Front_Make,0.7090529315174348
SV Contact Area - Front_Lighting,0.8304621848739496
SV Contact Area - Front_Weather - Snow,0.876015406162465
SV Contact Area - Front_State,0.7907140442383852
SV Contact Area - Front_Posted Speed Limit (MPH),0.5574012363566123
SV Contact Area - Front_Roadway Description,0.8119687530184488
SV Contact Area - Front_SV Any Air Bags Deployed?,0.767790736984449
SV Contact Area - Front_Model Year,0.5582186322804991
Weather - Clear_CP Pre-Crash Movement,0.7902854245146334
Weather - Clear_Roadway Surface,0.8639319520911812
Weather - Clear_CP Was Vehicle Towed?,0.7792825750990051
Weather - Clear_Mileage,0.3183847677001801
Weather - Clear_Automation System Engaged?,0.7253054670143919
Weather - Clear_SV Contact Area - Right,0.9294962812711292
Weather - Clear_Highest Injury Severity,0.43060344827586206
Weather - Clear_Incident Time (24:00),0.646923597025016
Weather - Clear_Driver / Operator Type,0.7146213657876943
Weather - Clear_Weather - Severe Wind,0.9499154834347532
Weather - Clear_Roadway Type,0.8052738336713996
Weather - Clear_Weather - Rain,0.9296496184680769
Weather - Clear_SV Contact Area - Front Right,0.897707186322805
Weather - Clear_SV Contact Area - Rear Left,0.9499154834347532
Weather - Clear_SV Pre-Crash Movement,0.8469682700666473
Weather - Clear_SV Contact Area - Rear,0.9499154834347532
Weather - Clear_Weather - Fog/Smoke,0.9499154834347532
Weather - Clear_Crash With,0.7873647734956053
Weather - Clear_ADS Equipped?,0.7156440162271805
Weather - Clear_SV Was Vehicle Towed?,0.7807857625808945
Weather - Clear_SV Contact Area - Rear Right,0.9499154834347532
Weather - Clear_SV Contact Area - Front Left,0.8959468270066647
Weather - Clear_Weather - Cloudy,0.9199024437361152
Weather - Clear_SV Were All Passengers Belted?,0.7993625036221386
Weather - Clear_SV Contact Area - Left,0.9428160919540229
Weather - Clear_SV Precrash Speed (MPH),0.4525934511735734
Weather - Clear_Make,0.7002028397565925
Weather - Clear_Lighting,0.8787030329373129
Weather - Clear_Weather - Snow,0.9499154834347532
Weather - Clear_State,0.822114362986574
Weather - Clear_Posted Speed Limit (MPH),0.5574229691876758
Weather - Clear_Roadway Description,0.8731406355645707
Weather - Clear_SV Any Air Bags Deployed?,0.7735402781802376
Weather - Clear_Model Year,0.5809523809523816
CP Pre-Crash Movement_Roadway Surface,0.77468487394958
CP Pre-Crash Movement_CP Was Vehicle Towed?,0.7288165266106443
CP Pre-Crash Movement_Mileage,0.32739423355548813
CP Pre-Crash Movement_Automation System Engaged?,0.7049599150004829
CP Pre-Crash Movement_SV Contact Area - Right,0.791800685791558
CP Pre-Crash Movement_Highest Injury Severity,0.4281452236066843
CP Pre-Crash Movement_Incident Time (24:00),0.48927122573167137
CP Pre-Crash Movement_Driver / Operator Type,0.68854800540906
CP Pre-Crash Movement_Weather - Severe Wind,0.8065258862165556
CP Pre-Crash Movement_Roadway Type,0.7160847097459675
CP Pre-Crash Movement_Weather - Rain,0.803896213657877
CP Pre-Crash Movement_SV Contact Area - Front Right,0.7914457162175216
CP Pre-Crash Movement_SV Contact Area - Rear Left,0.7902057374674007
CP Pre-Crash Movement_SV Pre-Crash Movement,0.7330689172220615
CP Pre-Crash Movement_SV Contact Area - Rear,0.7861465275765479
CP Pre-Crash Movement_Weather - Fog/Smoke,0.8065258862165556
CP Pre-Crash Movement_Crash With,0.6647155413889695
CP Pre-Crash Movement_ADS Equipped?,0.7012158311600503
CP Pre-Crash Movement_SV Was Vehicle Towed?,0.7398314498213079
CP Pre-Crash Movement_SV Contact Area - Rear Right,0.7989000772722883
CP Pre-Crash Movement_SV Contact Area - Front Left,0.7816768086544963
CP Pre-Crash Movement_Weather - Cloudy,0.8013921085675649
CP Pre-Crash Movement_SV Were All Passengers Belted?,0.7435296532406067
CP Pre-Crash Movement_SV Contact Area - Left,0.794470201873853
CP Pre-Crash Movement_SV Precrash Speed (MPH),0.40793489809716976
CP Pre-Crash Movement_Make,0.6270247754274125
CP Pre-Crash Movement_Lighting,0.7646865642808849
CP Pre-Crash Movement_Weather - Snow,0.8048452139476481
CP Pre-Crash Movement_State,0.6843052738336715
CP Pre-Crash Movement_Posted Speed Limit (MPH),0.5303969863807598
CP Pre-Crash Movement_Roadway Description,0.7604220998744327
CP Pre-Crash Movement_SV Any Air Bags Deployed?,0.7350345310538009
CP Pre-Crash Movement_Model Year,0.5250796870472331
Roadway Surface_CP Was Vehicle Towed?,0.766568868926881
Roadway Surface_Mileage,0.3119651308799348
Roadway Surface_Automation System Engaged?,0.7108410605621559
Roadway Surface_SV Contact Area - Right,0.8870605138607167
Roadway Surface_Highest Injury Severity,0.43060344827586206
Roadway Surface_Incident Time (24:00),0.6702875977977395
Roadway Surface_Driver / Operator Type,0.7051832802086352
Roadway Surface_Weather - Severe Wind,0.914413696513088
Roadway Surface_Roadway Type,0.7729981647831546
Roadway Surface_Weather - Rain,0.881492079590457
Roadway Surface_SV Contact Area - Front Right,0.8676881097266493
Roadway Surface_SV Contact Area - Rear Left,0.914413696513088
Roadway Surface_SV Pre-Crash Movement,0.8335228919153869
Roadway Surface_SV Contact Area - Rear,0.914413696513088
Roadway Surface_Weather - Fog/Smoke,0.914413696513088
Roadway Surface_Crash With,0.774565343378731
Roadway Surface_ADS Equipped?,0.7075437071380275
Roadway Surface_SV Was Vehicle Towed?,0.7740232299816479
Roadway Surface_SV Contact Area - Rear Right,0.9090287839273641
Roadway Surface_SV Contact Area - Front Left,0.8592449048584951
Roadway Surface_Weather - Cloudy,0.914413696513088
Roadway Surface_SV Were All Passengers Belted?,0.7700594030715735
Roadway Surface_SV Contact Area - Left,0.9048162368395634
Roadway Surface_SV Precrash Speed (MPH),0.43599198300009656
Roadway Surface_Make,0.6866198203419299
Roadway Surface_Lighting,0.8347483821114653
Roadway Surface_Weather - Snow,0.914413696513088
Roadway Surface_State,0.7772288225635082
Roadway Surface_Posted Speed Limit (MPH),0.5567770211532895
Roadway Surface_Roadway Description,0.8264247078141602
Roadway Surface_SV Any Air Bags Deployed?,0.7570486815415821
Roadway Surface_Model Year,0.5675649570172903
CP Was Vehicle Towed?_Mileage,0.3329047136095782
CP Was Vehicle Towed?_Automation System Engaged?,0.7227615184004635
CP Was Vehicle Towed?_SV Contact Area - Right,0.7740292668791655
CP Was Vehicle Towed?_Highest Injury Severity,0.43060344827586206
CP Was Vehicle Towed?_Incident Time (24:00),0.6066731865159849
CP Was Vehicle Towed?_Driver / Operator Type,0.7075437071380276
CP Was Vehicle Towed?_Weather - Severe Wind,0.7792825750990051
CP Was Vehicle Towed?_Roadway Type,0.7472061238288419
CP Was Vehicle Towed?_Weather - Rain,0.7788080749541195
CP Was Vehicle Towed?_SV Contact Area - Front Right,0.7792825750990051
CP Was Vehicle Towed?_SV Contact Area - Rear Left,0.7769957983193277
CP Was Vehicle Towed?_SV Pre-Crash Movement,0.7588392253453107
CP Was Vehicle Towed?_SV Contact Area - Rear,0.7775560224089636
CP Was Vehicle Towed?_Weather - Fog/Smoke,0.7792825750990051
CP Was Vehicle Towed?_Crash With,0.7339044238385011
CP Was Vehicle Towed?_ADS Equipped?,0.7156440162271805
CP Was Vehicle Towed?_SV Was Vehicle Towed?,0.7644933835603207
CP Was Vehicle Towed?_SV Contact Area - Rear Right,0.7792825750990051
CP Was Vehicle Towed?_SV Contact Area - Front Left,0.7792825750990051
CP Was Vehicle Towed?_Weather - Cloudy,0.7726794165942239
CP Was Vehicle Towed?_SV Were All Passengers Belted?,0.7587257316719791
CP Was Vehicle Towed?_SV Contact Area - Left,0.7792825750990051
CP Was Vehicle Towed?_SV Precrash Speed (MPH),0.4322080556360475
CP Was Vehicle Towed?_Make,0.6688423645320196
CP Was Vehicle Towed?_Lighting,0.7673464213271516
CP Was Vehicle Towed?_Weather - Snow,0.7787223510093693
CP Was Vehicle Towed?_State,0.743902733507196
CP Was Vehicle Towed?_Posted Speed Limit (MPH),0.5528156090022222
CP Was Vehicle Towed?_Roadway Description,0.762950352554815
CP Was Vehicle Towed?_SV Any Air Bags Deployed?,0.7553245436105477
CP Was Vehicle Towed?_Model Year,0.5448770887665417
Mileage_Automation System Engaged?,0.31856225248719916
Mileage_SV Contact Area - Right,0.34035907466434623
Mileage_Highest Injury Severity,0.31050178692166286
Mileage_Incident Time (24:00),0.2843366657007603
Mileage_Driver / Operator Type,0.3283371969477423
Mileage_Weather - Severe Wind,0.34397759103641234
Mileage_Roadway Type,0.3412682314305009
Mileage_Weather - Rain,0.34397759103641223
Mileage_SV Contact Area - Front Right,0.33368226600984985
Mileage_SV Contact Area - Rear Left,0.3309209890852869
Mileage_SV Pre-Crash Movement,0.33234448951994344
Mileage_SV Contact Area - Rear,0.3423886796097726
Mileage_Weather - Fog/Smoke,0.34397759103641234
Mileage_Crash With,0.3327393026175963
Mileage_ADS Equipped?,0.3304066454167851
Mileage_SV Was Vehicle Towed?,0.34135395537525115
Mileage_SV Contact Area - Rear Right,0.3349741620786222
Mileage_SV Contact Area - Front Left,0.3321730416304429
Mileage_Weather - Cloudy,0.3404447986090965
Mileage_SV Were All Passengers Belted?,0.31808171544479613
Mileage_SV Contact Area - Left,0.34397759103641234
Mileage_SV Precrash Speed (MPH),0.2719260117840212
Mileage_Make,0.30339032164589697
Mileage_Lighting,0.3086037863421205
Mileage_Weather - Snow,0.3433316430020261
Mileage_State,0.3297148169612646
Mileage_Posted Speed Limit (MPH),0.29971988795517945
Mileage_Roadway Description,0.31549792330725146
Mileage_SV Any Air Bags Deployed?,0.34397759103641223
Mileage_Model Year,0.2960156476383632
Automation System Engaged?_SV Contact Area - Right,0.725305467014392
Automation System Engaged?_Highest Injury Severity,0.43060344827586206
Automation System Engaged?_Incident Time (24:00),0.6031005505650524
Automation System Engaged?_Driver / Operator Type,0.7028228532792428
Automation System Engaged?_Weather - Severe Wind,0.7253054670143919
Automation System Engaged?_Roadway Type,0.7036100647155414
Automation System Engaged?_Weather - Rain,0.725305467014392
Automation System Engaged?_SV Contact Area - Front Right,0.7253054670143919
Automation System Engaged?_SV Contact Area - Rear Left,0.7253054670143919
Automation System Engaged?_SV Pre-Crash Movement,0.7156898966483145
Automation System Engaged?_SV Contact Area - Rear,0.7253054670143919
Automation System Engaged?_Weather - Fog/Smoke,0.7253054670143919
Automation System Engaged?_Crash With,0.706646624166908
Automation System Engaged?_ADS Equipped?,0.702336279339322
Automation System Engaged?_SV Was Vehicle Towed?,0.7209890852892882
Automation System Engaged?_SV Contact Area - Rear Right,0.725305467014392
Automation System Engaged?_SV Contact Area - Front Left,0.7253054670143919
Automation System Engaged?_Weather - Cloudy,0.7238819665797354
Automation System Engaged?_SV Were All Passengers Belted?,0.7128090891529026
Automation System Engaged?_SV Contact Area - Left,0.725305467014392
Automation System Engaged?_SV Precrash Speed (MPH),0.4253477252970156
Automation System Engaged?_Make,0.6547788080749544
Automation System Engaged?_Lighting,0.7020489230174829
Automation System Engaged?_Weather - Snow,0.7247452429247561
Automation System Engaged?_State,0.6925830677098426
Automation System Engaged?_Posted Speed Limit (MPH),0.49081425673717827
Automation System Engaged?_Roadway Description,0.7059704916449339
Automation System Engaged?_SV Any Air Bags Deployed?,0.7154387617115812
Automation System Engaged?_Model Year,0.5097701149425293
SV Contact Area - Right_Highest Injury Severity,0.43060344827586206
SV Contact Area - Right_Incident Time (24:00),0.7032212885154063
SV Contact Area - Right_Driver / Operator Type,0.7159132618564668
SV Contact Area - Right_Weather - Severe Wind,0.9663129044721337
SV Contact Area - Right_Roadway Type,0.7905884767700183
SV Contact Area - Right_Weather - Rain,0.9663129044721337
SV Contact Area - Right_SV Contact Area - Front Right,0.901185646672462
SV Contact Area - Right_SV Contact Area - Rear Left,0.9647493480150681
SV Contact Area - Right_SV Pre-Crash Movement,0.8547776006954506
SV Contact Area - Right_SV Contact Area - Rear,0.9620218777166039
SV Contact Area - Right_Weather - Fog/Smoke,0.9663129044721337
SV Contact Area - Right_Crash With,0.7946018062397373
SV Contact Area - Right_ADS Equipped?,0.7156440162271804
SV Contact Area - Right_SV Was Vehicle Towed?,0.7803172993335264
SV Contact Area - Right_SV Contact Area - Rear Right,0.9663129044721337
SV Contact Area - Right_SV Contact Area - Front Left,0.8895127016323771
SV Contact Area - Right_Weather - Cloudy,0.963940403747706
SV Contact Area - Right_SV Were All Passengers Belted?,0.794543852023568
SV Contact Area - Right_SV Contact Area - Left,0.9640043948613928
SV Contact Area - Right_SV Precrash Speed (MPH),0.47951197720467575
SV Contact Area - Right_Make,0.7154387617115812
SV Contact Area - Right_Lighting,0.8557000386361442
SV Contact Area - Right_Weather - Snow,0.9623056118999324
SV Contact Area - Right_State,0.8224814063556457
SV Contact Area - Right_Posted Speed Limit (MPH),0.5461388003477261
SV Contact Area - Right_Roadway Description,0.8522070897324447
SV Contact Area - Right_SV Any Air Bags Deployed?,0.7694991789819376
SV Contact Area - Right_Model Year,0.5689305032357777
Highest Injury Severity_Incident Time (24:00),0.3781754080942694
Highest Injury Severity_Driver / Operator Type,0.43060344827586206
Highest Injury Severity_Weather - Severe Wind,0.43060344827586206
Highest Injury Severity_Roadway Type,0.43060344827586217
Highest Injury Severity_Weather - Rain,0.43060344827586194
Highest Injury Severity_SV Contact Area - Front Right,0.43060344827586206
Highest Injury Severity_SV Contact Area - Rear Left,0.43060344827586206
Highest Injury Severity_SV Pre-Crash Movement,0.42508089442673636
Highest Injury Severity_SV Contact Area - Rear,0.43060344827586206
Highest Injury Severity_Weather - Fog/Smoke,0.43060344827586206
Highest Injury Severity_Crash With,0.42542982710325483
Highest Injury Severity_ADS Equipped?,0.43060344827586206
Highest Injury Severity_SV Was Vehicle Towed?,0.43060344827586183
Highest Injury Severity_SV Contact Area - Rear Right,0.43060344827586206
Highest Injury Severity_SV Contact Area - Front Left,0.43060344827586206
Highest Injury Severity_Weather - Cloudy,0.43060344827586206
Highest Injury Severity_SV Were All Passengers Belted?,0.43060344827586206
Highest Injury Severity_SV Contact Area - Left,0.43060344827586206
Highest Injury Severity_SV Precrash Speed (MPH),0.3341169226311216
Highest Injury Severity_Make,0.42361755046846306
Highest Injury Severity_Lighting,0.4302086351782093
Highest Injury Severity_Weather - Snow,0.43060344827586206
Highest Injury Severity_State,0.4245665507582346
Highest Injury Severity_Posted Speed Limit (MPH),0.3524509803921573
Highest Injury Severity_Roadway Description,0.43060344827586206
Highest Injury Severity_SV Any Air Bags Deployed?,0.43060344827586206
Highest Injury Severity_Model Year,0.3580870279146148
Incident Time (24:00)_Driver / Operator Type,0.5824519462957585
Incident Time (24:00)_Weather - Severe Wind,0.746199169322902
Incident Time (24:00)_Roadway Type,0.5520742779870556
Incident Time (24:00)_Weather - Rain,0.7254648411088576
Incident Time (24:00)_SV Contact Area - Front Right,0.6881749251424707
Incident Time (24:00)_SV Contact Area - Rear Left,0.6508113590263687
Incident Time (24:00)_SV Pre-Crash Movement,0.5562928619723739
Incident Time (24:00)_SV Contact Area - Rear,0.6546930841302033
Incident Time (24:00)_Weather - Fog/Smoke,0.746199169322902
Incident Time (24:00)_Crash With,0.4714635854341721
Incident Time (24:00)_ADS Equipped?,0.6472725297015353
Incident Time (24:00)_SV Was Vehicle Towed?,0.6260697382401228
Incident Time (24:00)_SV Contact Area - Rear Right,0.6537839273640487
Incident Time (24:00)_SV Contact Area - Front Left,0.6661945812807879
Incident Time (24:00)_Weather - Cloudy,0.7043876171158119
Incident Time (24:00)_SV Were All Passengers Belted?,0.6332210470395048
Incident Time (24:00)_SV Contact Area - Left,0.7081377378537624
Incident Time (24:00)_SV Precrash Speed (MPH),0.35781778228532535
Incident Time (24:00)_Make,0.43772457258765396
Incident Time (24:00)_Lighting,0.5775354969574031
Incident Time (24:00)_Weather - Snow,0.7427521008403364
Incident Time (24:00)_State,0.4884477929102664
Incident Time (24:00)_Posted Speed Limit (MPH),0.43578069158697796
Incident Time (24:00)_Roadway Description,0.6425734086738137
Incident Time (24:00)_SV Any Air Bags Deployed?,0.6541207862455325
Incident Time (24:00)_Model Year,0.39496402009079257
Driver / Operator Type_Weather - Severe Wind,0.7165592098908529
Driver / Operator Type_Roadway Type,0.704445571331981
Driver / Operator Type_Weather - Rain,0.7155244856563314
Driver / Operator Type_SV Contact Area - Front Right,0.715998985801217
Driver / Operator Type_SV Contact Area - Rear Left,0.716559209890853
Driver / Operator Type_SV Pre-Crash Movement,0.6938471940500339
Driver / Operator Type_SV Contact Area - Rear,0.7158275379117164
Driver / Operator Type_Weather - Fog/Smoke,0.7165592098908529
Driver / Operator Type_Crash With,0.6870786245532695
Driver / Operator Type_ADS Equipped?,0.6954022988505747
Driver / Operator Type_SV Was Vehicle Towed?,0.7053028107794843
Driver / Operator Type_SV Contact Area - Rear Right,0.7159132618564666
Driver / Operator Type_SV Contact Area - Front Left,0.7165592098908529
Driver / Operator Type_Weather - Cloudy,0.7155244856563314
Driver / Operator Type_SV Were All Passengers Belted?,0.6933666570076307
Driver / Operator Type_SV Contact Area - Left,0.7129406935187868
Driver / Operator Type_SV Precrash Speed (MPH),0.4166871921182267
Driver / Operator Type_Make,0.6406597121607264
Driver / Operator Type_Lighting,0.6950533661740559
Driver / Operator Type_Weather - Snow,0.715998985801217
Driver / Operator Type_State,0.6846602434077079
Driver / Operator Type_Posted Speed Limit (MPH),0.518724041340675
Driver / Operator Type_Roadway Description,0.7003465179175118
Driver / Operator Type_SV Any Air Bags Deployed?,0.6977289191538685
Driver / Operator Type_Model Year,0.49535400367043436
Weather - Severe Wind_Roadway Type,0.8074869603013619
Weather - Severe Wind_Weather - Rain,0.9797341350333236
Weather - Severe Wind_SV Contact Area - Front Right,0.9175975562638848
Weather - Severe Wind_SV Contact Area - Rear Left,0.9812530184487588
Weather - Severe Wind_SV Pre-Crash Movement,0.8593451173572878
Weather - Severe Wind_SV Contact Area - Rear,0.980766444508838
Weather - Severe Wind_Weather - Fog/Smoke,1.0
Weather - Severe Wind_Crash With,0.8012327344730996
Weather - Severe Wind_ADS Equipped?,0.7156440162271805
Weather - Severe Wind_SV Was Vehicle Towed?,0.7807857625808945
Weather - Severe Wind_SV Contact Area - Rear Right,0.9928052255384913
Weather - Severe Wind_SV Contact Area - Front Left,0.9009224379406935
Weather - Severe Wind_Weather - Cloudy,0.9678317878875689
Weather - Severe Wind_SV Were All Passengers Belted?,0.7993625036221385
Weather - Severe Wind_SV Contact Area - Left,0.9874360088863132
Weather - Severe Wind_SV Precrash Speed (MPH),0.48571428571428654
Weather - Severe Wind_Make,0.7237044817927172
Weather - Severe Wind_Lighting,0.8787030329373129
Weather - Severe Wind_Weather - Snow,0.9954324833381629
Weather - Severe Wind_State,0.8332512315270937
Weather - Severe Wind_Posted Speed Limit (MPH),0.5574229691876758
Weather - Severe Wind_Roadway Description,0.8731406355645707
Weather - Severe Wind_SV Any Air Bags Deployed?,0.7735402781802376
Weather - Severe Wind_Model Year,0.5809523809523818
Roadway Type_Weather - Rain,0.8074869603013619
Roadway Type_SV Contact Area - Front Right,0.8048512508451657
Roadway Type_SV Contact Area - Rear Left,0.8030389742103738
Roadway Type_SV Pre-Crash Movement,0.7489145658263305
Roadway Type_SV Contact Area - Rear,0.7987286293827875
Roadway Type_Weather - Fog/Smoke,0.8074869603013619
Roadway Type_Crash With,0.7390418236260021
Roadway Type_ADS Equipped?,0.7105162754757075
Roadway Type_SV Was Vehicle Towed?,0.757957838307737
Roadway Type_SV Contact Area - Rear Right,0.7920638945233266
Roadway Type_SV Contact Area - Front Left,0.7980826813484014
Roadway Type_Weather - Cloudy,0.8011011301072153
Roadway Type_SV Were All Passengers Belted?,0.7434378923983387
Roadway Type_SV Contact Area - Left,0.8001919733410605
Roadway Type_SV Precrash Speed (MPH),0.4500772722882256
Roadway Type_Make,0.6563459866705302
Roadway Type_Lighting,0.7651550275282527
Roadway Type_Weather - Snow,0.8069267362117261
Roadway Type_State,0.7063254612189706
Roadway Type_Posted Speed Limit (MPH),0.5208091857432635
Roadway Type_Roadway Description,0.7623997875012074
Roadway Type_SV Any Air Bags Deployed?,0.7387508451656525
Roadway Type_Model Year,0.5172305128948138
Weather - Rain_SV Contact Area - Front Right,0.916042451463344
Weather - Rain_SV Contact Area - Rear Left,0.9651260504201681
Weather - Rain_SV Pre-Crash Movement,0.8477458224669179
Weather - Rain_SV Contact Area - Rear,0.9655884767700184
Weather - Rain_Weather - Fog/Smoke,0.9797341350333236
Weather - Rain_Crash With,0.7989918381145562
Weather - Rain_ADS Equipped?,0.7156440162271804
Weather - Rain_SV Was Vehicle Towed?,0.7806541582150102
Weather - Rain_SV Contact Area - Rear Right,0.978356515019801
Weather - Rain_SV Contact Area - Front Left,0.8979897131266299
Weather - Rain_Weather - Cloudy,0.9540314401622718
Weather - Rain_SV Were All Passengers Belted?,0.7993625036221386
Weather - Rain_SV Contact Area - Left,0.9797341350333236
Weather - Rain_SV Precrash Speed (MPH),0.48506833767990043
Weather - Rain_Make,0.7168501883512026
Weather - Rain_Lighting,0.8787030329373129
Weather - Rain_Weather - Snow,0.9797341350333236
Weather - Rain_State,0.8274316623201005
Weather - Rain_Posted Speed Limit (MPH),0.5574229691876758
Weather - Rain_Roadway Description,0.8674925142470782
Weather - Rain_SV Any Air Bags Deployed?,0.7735402781802376
Weather - Rain_Model Year,0.5809523809523816
SV Contact Area - Front Right_SV Contact Area - Rear Left,0.917597556263885
SV Contact Area - Front Right_SV Pre-Crash Movement,0.8494264947358253
SV Contact Area - Front Right_SV Contact Area - Rear,0.9175975562638848
SV Contact Area - Front Right_Weather - Fog/Smoke,0.9175975562638848
SV Contact Area - Front Right_Crash With,0.7878791171641071
SV Contact Area - Front Right_ADS Equipped?,0.7156440162271805
SV Contact Area - Front Right_SV Was Vehicle Towed?,0.7807857625808945
SV Contact Area - Front Right_SV Contact Area - Rear Right,0.9175975562638848
SV Contact Area - Front Right_SV Contact Area - Front Left,0.8774570172896745
SV Contact Area - Front Right_Weather - Cloudy,0.9080677098425578
SV Contact Area - Front Right_SV Were All Passengers Belted?,0.7869301168743359
SV Contact Area - Front Right_SV Contact Area - Left,0.9175975562638848
SV Contact Area - Front Right_SV Precrash Speed (MPH),0.48127837341833335
SV Contact Area - Front Right_Make,0.7097846034965711
SV Contact Area - Front Right_Lighting,0.8476118033420265
SV Contact Area - Front Right_Weather - Snow,0.9135902636916836
SV Contact Area - Front Right_State,0.7994204578383078
SV Contact Area - Front Right_Posted Speed Limit (MPH),0.5563604752245734
SV Contact Area - Front Right_Roadway Description,0.8387737853762194
SV Contact Area - Front Right_SV Any Air Bags Deployed?,0.7735402781802376
SV Contact Area - Front Right_Model Year,0.5580351105959631
SV Contact Area - Rear Left_SV Pre-Crash Movement,0.8503754950255965
SV Contact Area - Rear Left_SV Contact Area - Rear,0.9676458514440258
SV Contact Area - Rear Left_Weather - Fog/Smoke,0.9812530184487588
SV Contact Area - Rear Left_Crash With,0.7856901381242152
SV Contact Area - Rear Left_ADS Equipped?,0.7156440162271805
SV Contact Area - Rear Left_SV Was Vehicle Towed?,0.7807857625808945
SV Contact Area - Rear Left_SV Contact Area - Rear Right,0.9755372838790688
SV Contact Area - Rear Left_SV Contact Area - Front Left,0.9009224379406935
SV Contact Area - Rear Left_Weather - Cloudy,0.9539155317299333
SV Contact Area - Rear Left_SV Were All Passengers Belted?,0.797378779097846
SV Contact Area - Rear Left_SV Contact Area - Left,0.9704831932773109
SV Contact Area - Rear Left_SV Precrash Speed (MPH),0.48433666570076384
SV Contact Area - Rear Left_Make,0.7110426929392448
SV Contact Area - Rear Left_Lighting,0.8735294117647059
SV Contact Area - Rear Left_Weather - Snow,0.9806927943591229
SV Contact Area - Rear Left_State,0.8195426446440646
